Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
Schule_1	673	'Schule, Ausbildungsstätte'	'(N.) Schule, Ausbildungsstätte'	2	b	•	•	•		•	673	1
Schule_2	4505	'Schule, Ausbildungsstätte'	'(N.) Schule, Ausbildungsstätte'	2	b				•		4505	1
sechsundzwanzig	6526	'26, sechsundzwanzig'	(Zahlwort) sechsundzwanzig (26)	2	b	•	•	•	•	•	6526	1
siebenundzwanzig	2581	'27, siebenundzwanzig'	(Zahlwort) siebenundzwanzig (27)	2	b	•	•	•	•	•	2581	1
Sprache	325	Sprache	'(N.) Sprache (Gebärdensprache, Lautsprache)'	2	b	•	•	•	•	•	325	1
Student_1	1690	'Student, Studierender'	'(N.) Student, Studierender (Besucher einer höheren Ausbildung)'	2	b		•			•	1690	1
Student_2	655	'Student, Studierender'	'(N.) Student, Studierender (Besucher einer höheren Ausbildung)'	2	b				•		655	1
Student_3	4747	'Student, Studierender'	'(N.) Student, Studierender (Besucher einer höheren Ausbildung)'	2	b	•		•			4747	1
Teilnehmer_1	1022	Teilnehmer	'(N.) Teilnehmer, Teilnehmerin, jmd. der mitmacht'	2	b		•	•		•	1022	1
Teilnehmer_2	4560	Teilnehmer	'(N.) Teilnehmer, Teilnehmerin, jmd. der mitmacht'	2	b	•			•		4560	1
Universität_1	1021	'Universität, Uni'	'(N.) Universität, ugs. Uni (Abkürzung für Universität)  z.B. Sie geht an die Uni.'	2	b		•	•		•	1021	1
Universität_2	4565	'Universität, Uni'	'(N.) Universität, ugs. Uni (Abkürzung für Universität)  z.B. Sie geht an die Uni.'	2	b	•			•		4565	1
unterrichten	763	'unterrichten, lehren, instruieren, Unterricht, Instruktion'	'(V.) unterrichten, lehren, instruieren  (N.) Unterricht, Instruktion'	2	b	•	•	•	•	•	763	1
vergessen_1	855	'vergessen, vergesslich, verschwitzen, verbummeln, entfallen'	'(V.) vergessen, verschwitzen, verbummeln, entfallen, 'nicht behalten können', aus dem Gedächtnis verlieren  (Adj.) vergesslich sein Gebärde mit Zeitaspekt: immer wieder = Gebärde mehrmals wiederholt ausführen'	2	b		•	•		•	855	1
vergessen_2	343	'vergessen, verschwitzen, verbummeln, entfallen '	'(V) vergessen, verschwitzen, verbummeln, entfallen, 'nicht behalten können', aus dem Gedächtnis verlieren, nicht im Gedächtnis behalten können'	2	b	•			•		343	1
vierundzwanzig	6524	'24, vierundzwanzig'	(Zahlwort) vierundzwanzig (24)	2	b	•	•	•	•	•	6524	1
wiederholen	6176	'wiederholen, repetieren, Wiederholung'	'(V.) wiederholen, repetieren  (N.) Wiederholung  z.B. - ein Schuljahr - sich ständig wiederholen, immer wieder das gleiche sagen - ein Film wird wiederholt'	2	b	•	•	•	•	•	6176	1
zweiundzwanzig	6522	'22, zweiundzwanzig  '	(Zahlwort) zweiundzwanzig (22)	2	b	•	•	•	•	•	6522	1
achtunddreissig	1932	'38, achtunddreissig'	(Zahlwort) achtunddreissig (38)	2	c	•	•	•	•	•	1932	1
